"comparison","n_group0","n_group1","mean_age_group0","mean_age_group1","mean_ed_group0","mean_ed_group1","p_t_age","p_t_education","p_wilcox_age","p_wilcox_education","sex_test","p_sex"
"CN vs AD",1065,1065,66.1859154929577,70.962441314554,12.5305164319249,11.5079812206573,7.72240253699969e-46,1.30902000035934e-05,3.42136949785096e-57,3.23999881368664e-07,"Chi-square",0.00454817380121065
"CN vs FTD",254,254,66.3582677165354,66.3346456692913,13.1889763779528,12.6771653543307,0.97358364242861,0.233526528283714,0.964775365800819,0.214199780815241,"Chi-square",3.58144901122688e-07
"CN vs FTD-L",77,77,66.3896103896104,66.4545454545455,12.0909090909091,12.5584415584416,0.956044268099577,0.612139931614237,0.984117696827527,0.767356749388296,"Chi-square",0.0126096968571779
"CN vs DCL",24,24,67.7083333333333,65.5416666666667,11.3333333333333,10.2916666666667,0.575555264678809,0.550846240619457,0.777593227370607,0.611638459714968,"Chi-square",0.546113239914208
"AD vs FTD",254,254,66.3267716535433,66.3346456692913,12.6141732283465,12.6771653543307,0.99141886321657,0.881827879501878,0.817483019872964,0.603144367462087,"Chi-square",0.00422402576826538
"AD vs FTD-L",77,77,66.2727272727273,66.4545454545455,12.1818181818182,12.5584415584416,0.882831988643657,0.67032886830527,0.955272045710353,0.684295843455255,"Chi-square",0.0706940923503508
"AD vs DCL",24,24,65.9583333333333,65.5416666666667,9.79166666666667,10.2916666666667,0.914948116569386,0.759648949529726,0.922455594438588,0.825487303580102,"Chi-square",0.546113239914208
"FTD vs FTD-L",77,77,66.2337662337662,66.4545454545455,12.4545454545455,12.5584415584416,0.860065111703617,0.905806692066811,0.995670117278671,0.791293335377809,"Chi-square",0.419991919615401
"FTD vs DCL",24,24,66.375,65.5416666666667,10.125,10.2916666666667,0.813348202899681,0.916497761531802,0.963232914360413,0.955049042145241,"Chi-square",0.546113239914208
"FTD-L vs DCL",24,24,63.875,65.5416666666667,10.625,10.2916666666667,0.609997128064212,0.839831183253068,0.398004614925985,0.762686142491307,"Chi-square",0.14323490752467
